2026-08-19T00:35:16.404 [DEBUG] desktop_shell::map_webview: map_webview: 开始异步创建 WebView（page=BlockPreview, generation=4, 上报状态=true）
2026-08-19T00:35:16.610 [DEBUG] desktop_shell::map_webview: map_webview: notify_status(page=BlockPreview, generation=4, available=true)
2026-08-19T00:40:12.772 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:14.775 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:16.777 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:18.780 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:20.783 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:22.786 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:24.789 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:26.792 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:28.795 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:30.797 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:32.800 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:34.803 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
